"comuna","si_agresion_mano_armadaFALSE","si_agresion_mano_armadaTRUE","se.si_agresion_mano_armadaFALSE","se.si_agresion_mano_armadaTRUE"
"Aisen",NA,NA,NA,NA
"Alto Hospicio",NA,NA,NA,NA
"Ancud",NA,NA,NA,NA
"Angol",NA,NA,NA,NA
"Antofagasta",NA,NA,NA,NA
"Arica",NA,NA,NA,NA
"Buin",NA,NA,NA,NA
"Bulnes",NA,NA,NA,NA
"Calama",NA,NA,NA,NA
"Calbuco",NA,NA,NA,NA
"Calera",NA,NA,NA,NA
"Castro",NA,NA,NA,NA
"Cauquenes",NA,NA,NA,NA
"Cerrillos",NA,NA,NA,NA
"Cerro Navia",NA,NA,NA,NA
"Chanaral",NA,NA,NA,NA
"Chiguayante",NA,NA,NA,NA
"Chillan",NA,NA,NA,NA
"Chillan Viejo",NA,NA,NA,NA
"Chimbarongo",NA,NA,NA,NA
"Coihaique",NA,NA,NA,NA
"Coihueco",NA,NA,NA,NA
"Colina",NA,NA,NA,NA
"Collipulli",NA,NA,NA,NA
"Concepcion",NA,NA,NA,NA
"Conchali",NA,NA,NA,NA
"Concon",NA,NA,NA,NA
"Constitucion",NA,NA,NA,NA
"Copiapo",NA,NA,NA,NA
"Coquimbo",NA,NA,NA,NA
"Coronel",NA,NA,NA,NA
"Curico",NA,NA,NA,NA
"Donihue",NA,NA,NA,NA
"El Bosque",NA,NA,NA,NA
"Estacion Central",NA,NA,NA,NA
"Graneros",NA,NA,NA,NA
"Hualpen",NA,NA,NA,NA
"Huechuraba",NA,NA,NA,NA
"Illapel",NA,NA,NA,NA
"Independencia",NA,NA,NA,NA
"Iquique",NA,NA,NA,NA
"La Cisterna",NA,NA,NA,NA
"La Florida",NA,NA,NA,NA
"La Granja",NA,NA,NA,NA
"La Ligua",NA,NA,NA,NA
"La Pintana",NA,NA,NA,NA
"La Reina",NA,NA,NA,NA
"La Serena",NA,NA,NA,NA
"La Union",NA,NA,NA,NA
"Lampa",NA,NA,NA,NA
"Las Condes",NA,NA,NA,NA
"Lautaro",NA,NA,NA,NA
"Lebu",NA,NA,NA,NA
"Limache",NA,NA,NA,NA
"Linares",NA,NA,NA,NA
"Lo Barnechea",NA,NA,NA,NA
"Lo Espejo",NA,NA,NA,NA
"Lo Prado",NA,NA,NA,NA
"Loncoche",NA,NA,NA,NA
"Los Andes",NA,NA,NA,NA
"Los Angeles",NA,NA,NA,NA
"Los Vilos",NA,NA,NA,NA
"Lota",NA,NA,NA,NA
"Machali",NA,NA,NA,NA
"Macul",NA,NA,NA,NA
"Maipu",NA,NA,NA,NA
"Maule",NA,NA,NA,NA
"Melipilla",NA,NA,NA,NA
"Molina",NA,NA,NA,NA
"Mostazal",NA,NA,NA,NA
"Natales",NA,NA,NA,NA
"Nueva Imperial",NA,NA,NA,NA
"Nunoa",NA,NA,NA,NA
"Osorno",NA,NA,NA,NA
"Ovalle",NA,NA,NA,NA
"Padre Hurtado",NA,NA,NA,NA
"Padre Las Casas",NA,NA,NA,NA
"Paillaco",NA,NA,NA,NA
"Paine",NA,NA,NA,NA
"Panguipulli",NA,NA,NA,NA
"Parral",NA,NA,NA,NA
"Pedro Aguirre Cerda",NA,NA,NA,NA
"Penaflor",NA,NA,NA,NA
"Penalolen",NA,NA,NA,NA
"Penco",NA,NA,NA,NA
"Pichilemu",NA,NA,NA,NA
"Pitrufquen",NA,NA,NA,NA
"Pozo Almonte",NA,NA,NA,NA
"Providencia",NA,NA,NA,NA
"Pucon",NA,NA,NA,NA
"Pudahuel",NA,NA,NA,NA
"Puente Alto",NA,NA,NA,NA
"Puerto Montt",NA,NA,NA,NA
"Puerto Varas",NA,NA,NA,NA
"Punta Arenas",NA,NA,NA,NA
"Quellon",NA,NA,NA,NA
"Quilicura",NA,NA,NA,NA
"Quillon",NA,NA,NA,NA
"Quillota",NA,NA,NA,NA
"Quilpue",NA,NA,NA,NA
"Quinta Normal",NA,NA,NA,NA
"Quirihue",NA,NA,NA,NA
"Rancagua",NA,NA,NA,NA
"Recoleta",NA,NA,NA,NA
"Renca",NA,NA,NA,NA
"Rengo",NA,NA,NA,NA
"Rio Bueno",NA,NA,NA,NA
"San Antonio",NA,NA,NA,NA
"San Bernardo",NA,NA,NA,NA
"San Carlos",NA,NA,NA,NA
"San Felipe",NA,NA,NA,NA
"San Fernando",NA,NA,NA,NA
"San Javier",NA,NA,NA,NA
"San Joaquin",NA,NA,NA,NA
"San Miguel",NA,NA,NA,NA
"San Pedro de la Paz",NA,NA,NA,NA
"San Ramon",NA,NA,NA,NA
"San Vicente",NA,NA,NA,NA
"Santa Cruz",NA,NA,NA,NA
"Santiago",NA,NA,NA,NA
"Talagante",NA,NA,NA,NA
"Talca",NA,NA,NA,NA
"Talcahuano",NA,NA,NA,NA
"Temuco",NA,NA,NA,NA
"Tocopilla",NA,NA,NA,NA
"Tome",NA,NA,NA,NA
"Valdivia",NA,NA,NA,NA
"Vallenar",NA,NA,NA,NA
"Valparaiso",NA,NA,NA,NA
"Victoria",NA,NA,NA,NA
"Vilcun",NA,NA,NA,NA
"Villa Alemana",NA,NA,NA,NA
"Villarrica",NA,NA,NA,NA
"Vina del Mar",NA,NA,NA,NA
"Vitacura",NA,NA,NA,NA
"Yungay",NA,NA,NA,NA
